Department,SKU_Count,Total_Value,Capital_Weight,SKU_per_Million
SCOURING POWDER,34,0.0,0.0,0.2956521739130435
SEASON CUBES,22,1546350.0,0.00618418244356584,0.19130434782608696
SEED OIL,21,0.0,0.0,0.1826086956521739
SERVIETES,84,1247750.0,0.004990017553567612,0.7304347826086957
SHAMPOOS/CONDITIONER,354,0.0,0.0,3.0782608695652174
SHAVING PRODUCT,97,0.0,0.0,0.8434782608695652
SHOE POLISH,32,0.0,0.0,0.2782608695652174
SNACKS,197,677070.0,0.002707746892401541,1.7130434782608694
SODA,156,7952164.19,0.03180239542933422,1.356521739130435
SOUPS,51,0.0,0.0,0.4434782608695652
SOY SAUCE,53,0.0,0.0,0.4608695652173913
SOYA & OTHER MILK,47,0.0,0.0,0.408695652173913
SPICES,448,0.0,0.0,3.8956521739130436
SPIRITS,438,401970.0,0.0016075634991044464,3.8086956521739133
SPORTS ITEMS,4,0.0,0.0,0.034782608695652174
STATIONARIES,300,80950.0,0.00032373626204071186,2.608695652173913
STERILISING FLUID,10,0.0,0.0,0.08695652173913043
SUGAR,42,9085967.0,0.03633671394200445,0.3652173913043478
SUN CREAM,21,0.0,0.0,0.1826086956521739
SWEETENER,22,0.0,0.0,0.19130434782608696
SWEETS,693,205313.0,0.0008210903417957341,6.0260869565217385
SWICH/TOASTERS/WAFFLES MAKERS,10,0.0,0.0,0.08695652173913043
TEA,184,700460.0,0.0028012884757138605,1.5999999999999999
TETRA PACK JUICE,177,4886813.19,0.01954340500829953,1.5391304347826087
TISSUE PAPER,59,0.0,0.0,0.5130434782608696
TOILET CLEANER,161,0.0,0.0,1.4
TOILET ROLL,74,7797068.0,0.031182132788106845,0.6434782608695652
TOMATO/KETCHUP SAUCE,81,0.0,0.0,0.7043478260869566
TOOTHBRUSHES,75,0.0,0.0,0.6521739130434783
TOOTHPASTES,121,0.0,0.0,1.0521739130434782
TOYS,315,0.0,0.0,2.739130434782609
UNIFORMS&TOWELS,69,0.0,0.0,0.6
UNISEX DEO SPRAY,29,0.0,0.0,0.25217391304347825
UNISEX DEO STICK,12,0.0,0.0,0.10434782608695653
UNISEX ROLL ON,16,0.0,0.0,0.1391304347826087
VALENTINE ITEMS,21,0.0,0.0,0.1826086956521739
VINEGAR,61,0.0,0.0,0.5304347826086957
VITAMIN SUPPLEMENTS,41,0.0,0.0,0.3565217391304348
WASHING UP LIQUID,77,0.0,0.0,0.6695652173913044
WATER DISPENSERS/PURIFIERS,3,0.0,0.0,0.026086956521739132
WINES,916,0.0,0.0,7.965217391304347
WIPES,62,263621.0,0.0010542764315680604,0.5391304347826087
WOMEN DEO STICK,14,0.0,0.0,0.12173913043478261
WOMEN DEO/PERFUME,28,0.0,0.0,0.24347826086956523
WOMEN ROLL ON,21,0.0,0.0,0.1826086956521739
WOMEN/UNISEX CREAM,79,0.0,0.0,0.6869565217391305
WOMEN/UNISEX LOTION,239,0.0,0.0,2.0782608695652174
WOMEN/UNISEX SHOWER GEL,213,0.0,0.0,1.8521739130434784
XMAS ITEMS,24,0.0,0.0,0.20869565217391306
YOGHURT,364,9940347.1,0.03975356162496887,3.1652173913043478
electrical items,2,0.0,0.0,0.017391304347826087
frozen,1,0.0,0.0,0.008695652173913044
online,1,0.0,0.0,0.008695652173913044
sweets,1,0.0,0.0,0.008695652173913044
