sku,qty,est_cost,supplier,day_generated
BROOKSIDE 500ML PLUS+ LOW FAT UHT MILK TFA,18,799.1973751367117,BROOKSIDE DAIRY LIMITED,7
SUPA 200G SWEET BREAD,18,1440.0,MIBISCO LTD,7
SUPA 600G BARREL WHITE BREAD,18,1440.0,MINI BAKERIES NBI  LTD,7
NESCAFE GOLD 12.5G CAPPUCCINO REDUCED SUGAR STICK,17,3347.0423714151157,NESTLE KENYA LTD,7
RINA 1LT VEGETABLE OIL JERRICAN,16,14791.869163493237,KAPA OIL REFINERIES LTD,7
KINGSMIL 400G SWICH WHITE BREAD,16,1280.0,KENAFRIC BAKERY LTD,7
RINSUN 500ML SUNFLOWER OIL,16,14791.869163493237,KAPA OIL REFINERIES LTD,7
RINA 2L VEGETABLE OIL JERRICAN,15,13867.377340774909,KAPA OIL REFINERIES LTD,7
BROADWAY 800G BROWN SANDWICH SLICED BREAD,15,1200.0,BROADWAYS BAKERY LTD,7
FESTIVE 400G ZERO WHITE BREAD SF,15,1200.0,DPL FESTIVE  LIMITED,7
BROADWAYS 600G BROWN BREAD,14,1120.0,BROADWAYS BAKERY LTD,7
KINGSMIL 800G SWICH WHITE BREAD,14,1120.0,KENAFRIC BAKERY LTD,7
KINGSMIL 600G SWICH WHITE BREAD,14,1120.0,KENAFRIC BAKERY LTD,7
KCC 450ML ASCEPTIC WHOLE MILK 30,13,577.1981042654029,NEW KENYA COOP CREAMERIES  LTD,7
BUTTERFLY 2KG ATTA MARK 1 FLOUR,13,1575.5890786847754,SPICE WORLD LTD,7
JOGOO 1KG MAIZE MEAL,13,1575.5890786847754,UNGA LTD,7
CAPTAIN COOK 5L PURE CORN OIL,12,11093.901872619928,KAPA OIL REFINERIES LTD,7
RINSUN 750ML SUNFLOWER OIL,12,11093.901872619928,KAPA OIL REFINERIES LTD,7
AJAB 2KG MANDAZI FLOUR,12,1454.3899187859465,GRAIN INDUSTRIES LIMITED,7
FRESH FRI 1LT COOKING OIL,12,11093.901872619928,PWANI OIL PRODUCTS LTD.,7
BUTTERFLY 1KG ATTA MARK 1 FLOUR,12,1454.3899187859465,SPICE WORLD LTD,7
FESTIVE 1.5KG WHITE MILKY BREAD,12,960.0,DPL FESTIVE  LIMITED,7
BROOKSIDE 1LT PLUS+ FAT FREE UHT MILK TBA,12,532.7982500911412,BROOKSIDE DAIRY LIMITED,7
VELVEX EXTRA 10S TOILET TISSUE UNWARAPPED,12,11093.901872619928,CHANDARIA INDUSTRIES  LTD,7
BROOKSIDE 500ML PLUS+ FAT FREE UHT MILK TFA,12,532.7982500911412,BROOKSIDE DAIRY LIMITED,7
FRESH FRI 2LT COOKING OIL,12,11093.901872619928,PWANI OIL PRODUCTS LTD.,7
RINA 500ML VEGETABLE OIL,11,10169.4100499016,KAPA OIL REFINERIES LTD,7
PEMBE 5KG MAIZE MEAL,10,1211.9915989882886,PEMBE FLOUR MILLS,7
RINA 3LT VEGETABLE  OIL,9,8320.426404464946,KAPA OIL REFINERIES LTD,7
BUTTERFLY 1KG GRAM FLOUR,10,1211.9915989882886,SPICE WORLD LTD,7
KINGSMIL 600G SWICH BROWN BREAD,10,800.0,KENAFRIC BAKERY LTD,7
FESTIVE 400G SILINDA WHITE BREAD,10,800.0,DPL FESTIVE  LIMITED,7
FESTIVE 400GM BROWN SLICED,10,800.0,DPL FESTIVE  LIMITED,7
CLOVERS 500G CASTER SUGAR,7,1378.193917641518,TRI CLOVER INDUSTRIES LTD,7
SOKO 2KG NUTRIGO WHOLE GRAIN MAIZE MEAL,8,969.5932791906309,CAPWELL INDUSTRIES LTD,7
SOKO 5KG MAIZE MEAL BAG,8,969.5932791906309,CAPWELL INDUSTRIES LTD,7
