sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
HIGHLANDS 500ML MINERAL WATER,7,140.0023784242939,HIGHLANDS DRINKS LIMITED,2,5,8
TUSKER LITE 500ML CAN,5,1034.2852504038772,KENYA BREWERIES LTD,2,5,8
ISINYA 30S EGGS,5,2165.131929046563,ISINYA FEEDS LIMITED,2,5,8
KABARNET 300ML MINERAL WATER,4,60.91600207146556,KHETIA DRAPERS LTD,2,5,8
COKE ZERO 2L PET,3,397.38981233243965,COCA COLA BEVERAGES KENYA LTD,2,5,8
AQUACLEAR 500ML MINERAL WATER,3,75.06953101361574,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,5,8
SPRITE SODA PET 2LTS,2,246.46550615496017,COCA COLA BEVERAGES KENYA LTD,2,5,8
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,20,817.9906644384256,BROOKSIDE DAIRY LIMITED,2,6,9
JOGOO 2KG MAIZE MEAL,8,928.0416879071086,UNGA LTD,2,6,9
ILARA  POUCH FRESH MILK 1LTR,7,655.4357107065309,BROOKSIDE DAIRY LIMITED,2,6,9
PEMBE 2KG MAIZE MEAL,6,705.6236629817748,PEMBE FLOUR MILLS,2,6,9
NATURES 800G WHITE BREAD,4,416.00651289009505,DPL FESTIVE  LIMITED,2,6,9
BROOKSIDE 1L LACTOSE FREE UHT MILK,5,696.8764103909735,BROOKSIDE DAIRY LIMITED,2,6,9
FESTIVE 400G FINEST SUPER SEEDED BREAD,4,416.00086021505376,DPL FESTIVE  LIMITED,2,6,9
FRESHA 5L WHOLE MILK,4,1598.3192182410423,GITHUNGURI DAIRY FARMERS,2,6,9
FESTIVE 300G 6S DELUXE ROLLS,4,384.0,DPL FESTIVE  LIMITED,2,6,9
MAYERS 1L SPARKLING WATER PLASTIC,6,461.92055459272103,MALACHITE LIMITED,2,6,9
AQUAMIST 500ML SPARKLING WATER,8,440.9420376056582,AQUAMIST LIMITED,2,6,9
WHITE CAP 500ML LAGER BEER,6,1147.2,KENYA BREWERIES LTD,2,6,9
SCHWEPPES SODA WATER 500ML PET,5,302.68167428772426,COCA COLA BEVERAGES KENYA LTD,2,6,9
KRACKLES BANG BANG CHILLI 30G,7,308.55575757575764,PROPACK KENYA LTD,2,6,9
GUINNESS 500ML CAN,7,1280.6713265350402,KENYA BREWERIES LTD,2,6,9
