sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
EXE 2KG ALL PURPOSE FLOUR,15,1921.3773603559073,UNGA LTD,2,3,6
JOGOO 2KG MAIZE MEAL,12,1392.0625318606628,UNGA LTD,2,3,6
KCC 500ML FRESH WHOLE MILK TFA 21,18,761.867055393586,NEW KENYA COOP CREAMERIES  LTD,2,3,6
BIO 1L FRESH WHOLE MILK,16,2187.289511915382,BIO FOOD PRODUCTS LTD,2,3,6
KCC 500ML FRESH W/MILK (POUCH)-84,17,766.9292012779554,NEW KENYA COOP CREAMERIES  LTD,2,3,6
FRESHA MAISHA 500ML LONG LIFE MILK,19,842.8979322158326,GITHUNGURI DAIRY FARMERS,2,3,6
KCC 500ML GOLD CROWN  (POUCH)-55,9,413.6986213786214,NEW KENYA COOP CREAMERIES  LTD,2,3,6
NATURES 800G WHITE BREAD,7,728.0113975576663,DPL FESTIVE  LIMITED,2,3,6
FESTIVE 400G WHOLE MEAL,8,416.0027898866609,DPL FESTIVE  LIMITED,2,3,6
FESTIVE 600G FAMILY BRWN BREAD,7,560.001386138614,DPL FESTIVE  LIMITED,2,3,6
BIO 2L SEMI SKIMMED FRESH MILK,6,1466.936634184883,BIO FOOD PRODUCTS LTD,2,3,6
FESTIVE 800G SUPREME WHOLE MEAL,5,520.0,DPL FESTIVE  LIMITED,2,3,6
QUENCHER 500ML DRINKING WATER,27,571.2900153834885,EXCEL CHEMICALS LTD,2,3,6
WHITE CAP 500ML LAGER CANS,25,4567.703886835734,KENYA BREWERIES LTD,2,3,6
QUENCHER 300ML DRINKING WATER,30,462.6646215405135,EXCEL CHEMICALS LTD,2,3,6
AQUAMIST 300ML MINERAL WATER,24,588.9786425203922,AQUAMIST LIMITED,2,3,6
KERINGET 500ML MINERAL WATER,16,718.6674237567544,COCA COLA BEVERAGES KENYA LTD,2,3,6
COKE PET 350ML,18,699.9014407092723,COCA COLA BEVERAGES KENYA LTD,2,3,6
COKE ZERO 500ML PET,17,886.3855630413859,COCA COLA BEVERAGES KENYA LTD,2,3,6
BIO 200ML GREEK STYLE NATURE PLAIN YOGHURT,27,3733.9415446212192,BIO FOOD PRODUCTS LTD,2,3,6
DUNHILL 20S SWITCH,12,4512.0,NOBLE OUTLOOK LIMITED,2,3,6
KERINGET 18.9LT MINERAL WATER REFIL,14,6704.727210801606,COCA COLA BEVERAGES KENYA LTD,2,3,6
TUSKER CAN 500ML BEER,17,2892.6884037415703,KENYA BREWERIES LTD,2,3,6
AQUAMIST 500ML MINERAL WATER,18,710.5999580272824,AQUAMIST LIMITED,2,3,6
COKE PET 500ML,12,638.2836302284711,COCA COLA BEVERAGES KENYA LTD,2,3,6
COKE ZERO 330ML CAN,12,927.0907850540295,COCA COLA BEVERAGES KENYA LTD,2,3,6
AQUAMIST 20LT MINERAL WATER,11,4641.753977004252,AQUAMIST LIMITED,2,3,6
TUSKER 500ML LAGER BEER,10,1672.0000000000002,KENYA BREWERIES LTD,2,3,6
AQUAMIST 1LTR SPARKLING WATER,14,1064.3631551085232,AQUAMIST LIMITED,2,3,6
SCHWEPPES TONIC WATER 500ML PET,8,485.6640269587195,COCA COLA BEVERAGES KENYA LTD,2,3,6
WHITE CAP 500ML LAGER BEER,7,1338.4,KENYA BREWERIES LTD,2,3,6
NESTLE 41.5G KITKAT 4 FINGER MILK,8,1069.2869095816466,GLACIER PRODUCTS LTD 2ND,2,3,6
AQUAMIST 500ML SPARKLING WATER,11,606.29530170778,AQUAMIST LIMITED,2,3,6
COCA COLA 300ML EMPTY BOTTLE,7,84.0,COCA COLA BEVERAGES KENYA LTD,2,3,6
BIO 150ML VANILLA YOGHURT,10,930.1268475210477,BIO FOOD PRODUCTS LTD,2,3,6
ISINYA 6S EGGS,7,701.1093625751682,ISINYA FEEDS LIMITED,2,3,6
KRACKLES POTATO CRISP BBQ30G,6,261.94272445820434,PROPACK KENYA LTD,2,3,6
KRACKLES BANG BANG CHILLI 30G,6,264.47636363636366,PROPACK KENYA LTD,2,3,6
