sku,qty,est_cost,supplier,day_generated,arrival_day
BROOKSIDE 500ML TR FRESH MILK,69,3586.4621423179856,BROOKSIDE DAIRY LIMITED,3,6
FESTIVE 400G MILKY WHITE SLICED,43,2236.0099611976607,DPL FESTIVE  LIMITED,3,6
BIO 2L WHOLE FRESH MILK,36,9169.104925053532,BIO FOOD PRODUCTS LTD,3,6
BROOKSIDE 1LT UHT WHOLE MILK,38,4724.182602230483,BROOKSIDE DAIRY LIMITED,3,6
FESTIVE 800G WHITE MILKY BREAD,37,3848.0,DPL FESTIVE  LIMITED,3,6
FRESHA 500ML WHOLE MILK POUCH,31,1409.2419305583219,GITHUNGURI DAIRY FARMERS,3,6
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,42,1717.7803953206937,BROOKSIDE DAIRY LIMITED,3,6
FESTIVE 600G FAMILY WHITE BREAD,39,3120.0229181969958,DPL FESTIVE  LIMITED,3,6
NATURES 400G GOLD WHITE,34,1768.009535160906,DPL FESTIVE  LIMITED,3,6
TUZO 450ML ESL WHOLE MILK 90DAYS,39,1433.3267783336958,BROOKSIDE DAIRY LIMITED,3,6
BROOKSIDE 500ML LACTOSE FREE UHT MILK FINO,28,1693.98658575535,BROOKSIDE DAIRY LIMITED,3,6
DAIMA 500ML WHOLE ESL POUCH,28,1096.4176488007106,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,3,6
AJAB 2KG HOME BAKING FLOUR,21,2682.59938258901,GRAIN INDUSTRIES LIMITED,3,6
DAIMA 500ML FINO MAZIWA BORA,23,876.8850735809391,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,3,6
LATO 500ML ESL MILK 90DAYS,26,1070.9906285714287,MUSTY DISTRIBUTION LIMITED,3,6
NATURES 600G WHITE BREAD,25,2000.019789511559,DPL FESTIVE  LIMITED,3,6
BROOKSIDE 250ML UHT WHOLE MILK,24,806.4092512286788,BROOKSIDE DAIRY LIMITED,3,6
DAIMA 450ML ESL MAZIWA BORA,26,930.8338507761644,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,3,6
