sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
FESTIVE 400G ZERO WHITE BREAD SF,23,1840.0,DPL FESTIVE  LIMITED,2,1,4
BUTTERFLY 1KG ATTA MARK 1 FLOUR,17,2060.3857182800907,SPICE WORLD LTD,2,1,4
DAIMA 200ML MILK FINO BORA,25,499.559597893729,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,1,4
FESTIVE 400G SILINDA WHITE BREAD,22,1760.0,DPL FESTIVE  LIMITED,2,1,4
SIMPLIFINE 800G WHOLEMEAL LOAF,21,1680.0,BIGCOLD KENYA SIMPLIFINE SHELF BREAD,2,1,4
BROADWAY 400G PREMIUM SANDWICH BREAD,22,1760.0,BROADWAYS BAKERY LTD,2,1,4
FESTIVE 400GM BROWN SLICED,21,1680.0,DPL FESTIVE  LIMITED,2,1,4
CAPTAIN COOK 5L PURE CORN OIL,14,12942.885518056582,KAPA OIL REFINERIES LTD,2,1,4
SIMPLIFINE 800G WHITE FAMILY LOAF,18,1440.0,BIGCOLD KENYA SIMPLIFINE SHELF BREAD,2,1,4
AMAIZE 2KG PREMIUM MAIZE FLOUR,17,2491.0032786885245,CAPWELL INDUSTRIES LTD,2,1,4
SIMPLIFINE 600G WHOLEMEAL LOAF,16,1280.0,BIGCOLD KENYA SIMPLIFINE SHELF BREAD,2,1,4
JOGOO 2KG WIMBI MEAL,13,1575.5890786847754,UNGA LTD,2,1,4
SUPA 600G BARREL BROWN BREAD,13,1040.0,MINI BAKERIES NBI  LTD,2,1,4
AJAB 2KG SELF RAISING FLOUR,11,1333.1907588871175,GRAIN INDUSTRIES LIMITED,2,1,4
MOLO UHT MILK 500ML ESL 90DAYS,11,412.6487358006596,BROOKSIDE DAIRY LIMITED,2,1,4
KINGSMIL 250G SCONES,12,960.0,KENAFRIC BAKERY LTD,2,1,4
FESTIVE 400G SILINDA  BROWN BREAD,12,960.0,DPL FESTIVE  LIMITED,2,1,4
FESTIVE 300G 6S PREM BROWN BURGER BUNS,12,960.0,DPL FESTIVE  LIMITED,2,1,4
BROADWAY 400G 50/50 BREAD,10,800.0,BROADWAYS BAKERY LTD,2,1,4
SIMPLIFINE 600G BROWN LOAF,10,800.0,BIGCOLD KENYA SIMPLIFINE SHELF BREAD,2,1,4
BROADWAYS 200G MANDO BITES 4S,11,880.0,BROADWAYS BAKERY LTD,2,1,4
SUPA 1.5KG BUTTER TOAST BREAD,10,800.0,MINI BAKERIES NBI  LTD,2,1,4
FESTIVE 1.5KG BROWN BREAD,9,720.0,DPL FESTIVE  LIMITED,2,1,4
