sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
EXE 2KG ALL PURPOSE FLOUR,9,1152.8264162135445,UNGA LTD,2,2,5
BIO 1L FRESH WHOLE MILK,7,956.9391614629795,BIO FOOD PRODUCTS LTD,2,2,5
ILARA  POUCH FRESH MILK 1LTR,5,468.16836479037926,BROOKSIDE DAIRY LIMITED,2,2,5
BROOKSIDE 2LTR FRESH MILK STANDARD BOTTLE,5,1027.7802271209084,BROOKSIDE DAIRY LIMITED,2,2,5
NATURES 800G WHITE BREAD,4,416.00651289009505,DPL FESTIVE  LIMITED,2,2,5
FESTIVE 600G FAMILY BRWN BREAD,4,320.00079207920794,DPL FESTIVE  LIMITED,2,2,5
FESTIVE 400G WHOLE MEAL,5,260.00174367916304,DPL FESTIVE  LIMITED,2,2,5
BROOKSIDE 2LTR FRESH MILK WHOLE BOTTLE,3,616.6906821963395,BROOKSIDE DAIRY LIMITED,2,2,5
FESTIVE 400G FINEST SUPER SEEDED BREAD,2,208.00043010752688,DPL FESTIVE  LIMITED,2,2,5
BROOKSIDE 500ML DAIRY BEST (POUCH),172,7525.267505629369,BROOKSIDE DAIRY LIMITED,2,3,6
ILARA FRESH MILK 500ML SATCHET,70,3148.453059318076,BROOKSIDE DAIRY LIMITED,2,3,6
TUZO 500ML FRESH MILK (POUCH),44,2076.80227735904,BROOKSIDE DAIRY LIMITED,2,3,6
BROOKSIDE 500ML TR FRESH MILK,40,2079.1084883002814,BROOKSIDE DAIRY LIMITED,2,3,6
TUZO 450ML ESL WHOLE MILK 30DAYS,26,1154.3962085308058,BROOKSIDE DAIRY LIMITED,2,3,6
FRESHA 500ML WHOLE MILK POUCH,22,1000.1071765252607,GITHUNGURI DAIRY FARMERS,2,3,6
FESTIVE 400G MILKY WHITE SLICED,22,1144.00509642671,DPL FESTIVE  LIMITED,2,3,6
BROOKSIDE 1LT UHT WHOLE MILK,21,2610.7324907063194,BROOKSIDE DAIRY LIMITED,2,3,6
NATURES 400G GOLD WHITE,17,884.004767580453,DPL FESTIVE  LIMITED,2,3,6
BIO 2L WHOLE FRESH MILK,19,4839.249821556032,BIO FOOD PRODUCTS LTD,2,3,6
FESTIVE 600G FAMILY WHITE BREAD,19,1520.0111652754595,DPL FESTIVE  LIMITED,2,3,6
FESTIVE 800G WHITE MILKY BREAD,19,1976.0,DPL FESTIVE  LIMITED,2,3,6
JOGOO 2KG MAIZE MEAL,12,1392.0625318606628,UNGA LTD,2,3,6
BROOKSIDE 500ML LACTOSE FREE UHT MILK FINO,17,1028.4918556371767,BROOKSIDE DAIRY LIMITED,2,3,6
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,17,695.2920647726618,BROOKSIDE DAIRY LIMITED,2,3,6
BROOKSIDE 250ML UHT WHOLE MILK,16,537.6061674857859,BROOKSIDE DAIRY LIMITED,2,3,6
FRESHA MAISHA 250ML LONG LIFE MILK,14,336.0051370255705,GITHUNGURI DAIRY FARMERS,2,3,6
NATURES 600G WHITE BREAD,14,1120.011082126473,DPL FESTIVE  LIMITED,2,3,6
EXE 2KG ALL PURPOSE FLOUR,8,1024.7345921898172,UNGA LTD,2,3,6
BIO 1L FRESH WHOLE MILK,8,1093.644755957691,BIO FOOD PRODUCTS LTD,2,3,6
ILARA  POUCH FRESH MILK 1LTR,6,561.8020377484551,BROOKSIDE DAIRY LIMITED,2,3,6
BROOKSIDE 2LTR FRESH MILK STANDARD BOTTLE,5,1027.7802271209084,BROOKSIDE DAIRY LIMITED,2,3,6
NATURES 800G WHITE BREAD,4,416.00651289009505,DPL FESTIVE  LIMITED,2,3,6
FESTIVE 600G FAMILY BRWN BREAD,5,400.0009900990099,DPL FESTIVE  LIMITED,2,3,6
FESTIVE 400G WHOLE MEAL,5,260.00174367916304,DPL FESTIVE  LIMITED,2,3,6
BROOKSIDE 2LTR FRESH MILK WHOLE BOTTLE,3,616.6906821963395,BROOKSIDE DAIRY LIMITED,2,3,6
BROOKSIDE 1LT UHT LOWFAT MILK,3,366.9933774834437,BROOKSIDE DAIRY LIMITED,2,3,6
BIO 2L SEMI SKIMMED FRESH MILK,2,488.97887806162765,BIO FOOD PRODUCTS LTD,2,3,6
FESTIVE 400G FINEST SUPER SEEDED BREAD,2,208.00043010752688,DPL FESTIVE  LIMITED,2,3,6
BROOKSIDE 1LTR FRESH MILK STANDARD,2,207.9747007002485,BROOKSIDE DAIRY LIMITED,2,3,6
FESTIVE 400G WHITE SLICED,2,100.80315581854045,DPL FESTIVE  LIMITED,2,3,6
BROOKSIDE 500ML DAIRY BEST (POUCH),166,7262.758174037647,BROOKSIDE DAIRY LIMITED,2,4,7
BIO 1L FRESH WHOLE MILK,4,546.8223779788455,BIO FOOD PRODUCTS LTD,2,4,7
KABRAS 1KG WHITE SUGAR,4,535.5240673489601,WEST KENYA SUGAR COMPANY LTD,2,4,7
BROOKSIDE 2LTR FRESH MILK STANDARD BOTTLE,6,1233.3362725450902,BROOKSIDE DAIRY LIMITED,2,4,7
NATURES 800G WHITE BREAD,3,312.0048846675713,DPL FESTIVE  LIMITED,2,4,7
FESTIVE 600G FAMILY BRWN BREAD,5,400.0009900990099,DPL FESTIVE  LIMITED,2,4,7
