sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
BROOKSIDE 1LT UHT WHOLE MILK,53,6588.991524163568,BROOKSIDE DAIRY LIMITED,2,2,5
NATURES 400G GOLD WHITE,59,3068.016546308631,DPL FESTIVE  LIMITED,2,2,5
BIO 2L WHOLE FRESH MILK,59,15027.144182726624,BIO FOOD PRODUCTS LTD,2,2,5
FESTIVE 600G FAMILY WHITE BREAD,59,4720.034671118532,DPL FESTIVE  LIMITED,2,2,5
FESTIVE 800G WHITE MILKY BREAD,57,5928.0,DPL FESTIVE  LIMITED,2,2,5
JOGOO 2KG MAIZE MEAL,34,3944.1771736052115,UNGA LTD,2,2,5
BROOKSIDE 500ML LACTOSE FREE UHT MILK FINO,56,3387.9731715107,BROOKSIDE DAIRY LIMITED,2,2,5
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,51,2085.876194317985,BROOKSIDE DAIRY LIMITED,2,2,5
BROOKSIDE 250ML UHT WHOLE MILK,48,1612.8185024573577,BROOKSIDE DAIRY LIMITED,2,2,5
NATURES 600G WHITE BREAD,45,3600.0356211208064,DPL FESTIVE  LIMITED,2,2,5
EXE 2KG ALL PURPOSE FLOUR,25,3202.2956005931787,UNGA LTD,2,2,5
AJAB 2KG HOME BAKING FLOUR,14,1788.3995883926734,GRAIN INDUSTRIES LIMITED,2,2,5
BIO 1L FRESH WHOLE MILK,26,3554.3454568624957,BIO FOOD PRODUCTS LTD,2,2,5
PEMBE 2KG MAIZE MEAL,15,1764.0591574544371,PEMBE FLOUR MILLS,2,2,5
ILARA  POUCH FRESH MILK 1LTR,22,2059.9408050776688,BROOKSIDE DAIRY LIMITED,2,2,5
SOKO 2KG MAIZE MEAL,18,2104.5132285436084,CAPWELL INDUSTRIES LTD,2,2,5
RINA 5LT VEGETABLE OIL,12,11686.438754325258,KAPA OIL REFINERIES LTD,2,2,5
BROOKSIDE 2LTR FRESH MILK STANDARD BOTTLE,20,4111.120908483634,BROOKSIDE DAIRY LIMITED,2,2,5
NATURES 800G WHITE BREAD,18,1872.0293080054278,DPL FESTIVE  LIMITED,2,2,5
PEMBE 2KG HOMEBAKING,14,1709.4065289806795,PEMBE FLOUR MILLS,2,2,5
FESTIVE 600G FAMILY BRWN BREAD,19,1520.0037623762378,DPL FESTIVE  LIMITED,2,2,5
FESTIVE 400G WHOLE MEAL,16,832.0055797733218,DPL FESTIVE  LIMITED,2,2,5
BROOKSIDE 2LTR FRESH MILK WHOLE BOTTLE,16,3289.0169717138106,BROOKSIDE DAIRY LIMITED,2,2,5
FESTIVE 800G SUPREME WHOLE MEAL,13,1352.0,DPL FESTIVE  LIMITED,2,2,5
BROOKSIDE 1LT UHT LOWFAT MILK,12,1467.9735099337747,BROOKSIDE DAIRY LIMITED,2,2,5
BIO 2L SEMI SKIMMED FRESH MILK,13,3178.36270740058,BIO FOOD PRODUCTS LTD,2,2,5
BROOKSIDE 1L FARM FRESH MILK,13,1352.0,BROOKSIDE DAIRY LIMITED,2,2,5
FESTIVE 400G FINEST SUPER SEEDED BREAD,13,1352.0027956989247,DPL FESTIVE  LIMITED,2,2,5
BROOKSIDE 1LTR FRESH MILK STANDARD,12,1247.848204201491,BROOKSIDE DAIRY LIMITED,2,2,5
FESTIVE 400G WHITE SLICED,11,554.4173570019725,DPL FESTIVE  LIMITED,2,2,5
BROOKSIDE 1L LACTOSE FREE UHT MILK,10,1393.752820781947,BROOKSIDE DAIRY LIMITED,2,2,5
SUPA 400G BUTTER TOAST BREAD,9,468.01619342142254,MINI BAKERIES NBI  LTD,2,2,5
BROOKSIDE 200ML  WHOLE MILK TCA,11,281.60527736131934,BROOKSIDE DAIRY LIMITED,2,2,5
SUPA 400G WHITE SLICED BREAD CT,11,572.0,MINI BAKERIES NBI  LTD,2,2,5
FESTIVE 300G 6S PREM SESSAME SLICED BURGER BUNS,11,1144.0,DPL FESTIVE  LIMITED,2,2,5
BIO 1L FRESH SEMI SKIMMED MILK,10,1256.651851851852,BIO FOOD PRODUCTS LTD,2,2,5
FESTIVE 300G 6S PREM PLAIN BURGER BUNS,9,864.0,DPL FESTIVE  LIMITED,2,2,5
TUZO 250ML UHT WHOLE MILK,8,256.0,BROOKSIDE DAIRY LIMITED,2,2,5
FESTIVE 300G 6S DELUXE ROLLS,8,768.0,DPL FESTIVE  LIMITED,2,2,5
AMAIZE 2KG SIFTED MAIZE FLOUR,5,605.9957994941443,CAPWELL INDUSTRIES LTD,2,2,5
SUPA LOAF WHITE BREAD 600G,6,480.0,MINI BAKERIES NBI  LTD,2,2,5
SUPA 600G WHITE BUTTER TOAST,5,400.0,MINI BAKERIES NBI  LTD,2,2,5
NATURES 400G GOLD  BROWN,7,364.01356589147287,DPL FESTIVE  LIMITED,2,2,5
KINGSMIL 400G KUBWA WAO WHITE BREAD,6,312.0,KENAFRIC BAKERY LTD,2,2,5
KINGSMIL 200G SLICED WHITE BREAD,4,112.0091220068415,KENAFRIC BAKERY LTD,2,2,5
BIO 1L FRESH SKIMMED MILK,3,369.3227722772277,BIO FOOD PRODUCTS LTD,2,2,5
BROOKSIDE 250ML UHT LOW FAT MILK,3,100.80000000000001,BROOKSIDE DAIRY LIMITED,2,2,5
FESTIVE 350G SLICED SUB ROLLS 4S,5,560.0,DPL FESTIVE  LIMITED,2,2,5
FESTIVE 350G LONG SLICED ROLLS 4S,4,320.0,DPL FESTIVE  LIMITED,2,2,5
SUPA 800G SWICH WHITE BREAD,3,312.0,MINI BAKERIES NBI  LTD,2,2,5
KINGSMIL 400G KUBWA WAO BROWN BREAD,3,156.0,KENAFRIC BAKERY LTD,2,2,5
BIO 1L BARISTA FRESH MILK,2,286.375,BIO FOOD PRODUCTS LTD,2,2,5
QUENCHER 500ML DRINKING WATER,54,1142.580030766977,EXCEL CHEMICALS LTD,2,2,5
WHITE CAP 500ML LAGER CANS,44,8039.158840830891,KENYA BREWERIES LTD,2,2,5
QUENCHER 300ML DRINKING WATER,41,632.3083161053685,EXCEL CHEMICALS LTD,2,2,5
KERINGET 500ML MINERAL WATER,37,1661.9184174374946,COCA COLA BEVERAGES KENYA LTD,2,2,5
AQUAMIST 300ML MINERAL WATER,32,785.3048566938563,AQUAMIST LIMITED,2,2,5
BIO 200ML GREEK STYLE NATURE PLAIN YOGHURT,41,5670.059382572963,BIO FOOD PRODUCTS LTD,2,2,5
DUNHILL 20S SWITCH,22,8272.0,NOBLE OUTLOOK LIMITED,2,2,5
COKE PET 350ML,29,1127.6189878093833,COCA COLA BEVERAGES KENYA LTD,2,2,5
KERINGET 18.9LT MINERAL WATER REFIL,28,13409.454421603212,COCA COLA BEVERAGES KENYA LTD,2,2,5
COKE PET 500ML,27,1436.1381680140598,COCA COLA BEVERAGES KENYA LTD,2,2,5
QUENCHER 1LT DRINKING WATER,24,925.1244678416115,EXCEL CHEMICALS LTD,2,2,5
EMBASSY BY DUNHILL BLUE 20S,18,6624.018221557575,NOBLE OUTLOOK LIMITED,2,2,5
TUSKER 500ML LAGER BEER,25,4180.0,KENYA BREWERIES LTD,2,2,5
TUSKER CAN 500ML BEER,23,3913.6372521209482,KENYA BREWERIES LTD,2,2,5
COKE ZERO 330ML CAN,23,1776.9240046868902,COCA COLA BEVERAGES KENYA LTD,2,2,5
AQUAMIST 20LT MINERAL WATER,22,9283.507954008504,AQUAMIST LIMITED,2,2,5
WHITE CAP 500ML LAGER BEER,20,3824.0000000000005,KENYA BREWERIES LTD,2,2,5
AQUAMIST 500ML MINERAL WATER,19,750.0777334732426,AQUAMIST LIMITED,2,2,5
COKE 330ML CAN,17,1326.7448194197752,COCA COLA BEVERAGES KENYA LTD,2,2,5
SCHWEPPES SODA WATER 500ML PET,17,1029.1176925782627,COCA COLA BEVERAGES KENYA LTD,2,2,5
AQUAMIST 500ML SPARKLING WATER,17,937.0018299120236,AQUAMIST LIMITED,2,2,5
DASANI 500ML MINERAL WATER,17,456.801003512293,COCA COLA BEVERAGES KENYA LTD,2,2,5
BIO 150ML VANILLA YOGHURT,23,2139.2917492984097,BIO FOOD PRODUCTS LTD,2,2,5
SPRITE 330ML CAN REGULAR,17,1312.791969429747,COCA COLA BEVERAGES KENYA LTD,2,2,5
BROOKSIDE 500ML NATURAL LALA BOTTLE,21,1512.044904777815,BROOKSIDE DAIRY LIMITED,2,2,5
PICK N PEEL 250ML MANGO,11,622.7115973154363,KEVIAN KENYA LTD,2,2,5
COCA COLA 300ML,15,480.0,COCA COLA BEVERAGES KENYA LTD,2,2,5
COCA COLA 300ML EMPTY BOTTLE,12,144.0,COCA COLA BEVERAGES KENYA LTD,2,2,5
PICK N PEEL 250ML APPLE,11,626.2605809128631,KEVIAN KENYA LTD,2,2,5
KERINGET 18.9LT MINERAL WATER REFIL EMPTY BOTTLE,13,10391.195111326235,COCA COLA BEVERAGES KENYA LTD,2,2,5
