sku,qty,est_cost,supplier,day_generated,arrival_day
BROOKSIDE 250ML UHT WHOLE MILK,8,268.80308374289297,BROOKSIDE DAIRY LIMITED,7,10
EXE 2KG ALL PURPOSE FLOUR,5,640.4591201186358,UNGA LTD,7,10
FRESHA MAISHA 250ML LONG LIFE MILK,4,96.00146772159157,GITHUNGURI DAIRY FARMERS,7,10
FRESHA MAISHA 500ML LONG LIFE MILK,4,177.45219625596476,GITHUNGURI DAIRY FARMERS,7,10
LATO 500ML FINO UHT MILK 180DAYS,5,200.85340632603408,MUSTY DISTRIBUTION LIMITED,7,10
AQUAMIST 500ML MINERAL WATER,4,157.91110178384054,AQUAMIST LIMITED,7,10
TUSKER CAN 500ML BEER,6,1020.9488483793778,KENYA BREWERIES LTD,7,10
AQUAMIST 1LTR SPARKLING WATER,5,380.129698253044,AQUAMIST LIMITED,7,10
TUZO 450ML ESL WHOLE MILK 30DAYS,6,266.3991250455706,BROOKSIDE DAIRY LIMITED,7,10
KRACKLES PERFECTLY SALTED 30G,3,99.1353043478261,PROPACK KENYA LTD,7,10
GOLD 500ML CROWN TFA 20,7,2060.666745984533,NEW KENYA COOP CREAMERIES  LTD,7,10
CHANDARANA FOODPLUS CARRIER BAG GREEN/WHITE,5,160.00386686921698,Unknown,7,10
DAIMA 500ML FINO MAZIWA BORA,6,228.75262789067978,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,8,11
EXE 2KG ALL PURPOSE FLOUR,6,768.5509441423629,UNGA LTD,8,11
FRESHA MAISHA 500ML LONG LIFE MILK,5,221.81524531995595,GITHUNGURI DAIRY FARMERS,8,11
LATO 500ML FINO UHT MILK 180DAYS,3,120.51204379562046,MUSTY DISTRIBUTION LIMITED,8,11
AQUAMIST 500ML MINERAL WATER,6,236.8666526757608,AQUAMIST LIMITED,8,11
TUSKER CAN 500ML BEER,7,1191.1069897759407,KENYA BREWERIES LTD,8,11
COKE ZERO 500ML PET,4,208.56130895091434,COCA COLA BEVERAGES KENYA LTD,8,11
AQUAMIST 1LTR SPARKLING WATER,3,228.07781895182643,AQUAMIST LIMITED,8,11
SCHWEPPES TONIC WATER 500ML PET,3,182.12401010951982,COCA COLA BEVERAGES KENYA LTD,8,11
KRACKLES PERFECTLY SALTED 30G,4,132.18040579710146,PROPACK KENYA LTD,8,11
CHANDARANA FOODPLUS CARRIER BAG GREEN/WHITE,7,224.00541361690375,Unknown,8,11
DAIMA 500ML FINO MAZIWA BORA,6,228.75262789067978,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,9,12
EXE 2KG ALL PURPOSE FLOUR,7,896.64276816609,UNGA LTD,9,12
FRESHA MAISHA 500ML LONG LIFE MILK,5,221.81524531995595,GITHUNGURI DAIRY FARMERS,9,12
BIO 1L FRESH WHOLE MILK,4,546.8223779788455,BIO FOOD PRODUCTS LTD,9,12
WHITE CAP 500ML LAGER CANS,8,1461.6652437874347,KENYA BREWERIES LTD,9,12
AQUAMIST 500ML MINERAL WATER,7,276.34442812172097,AQUAMIST LIMITED,9,12
TUSKER CAN 500ML BEER,4,680.6325655862519,KENYA BREWERIES LTD,9,12
KERINGET 18.9LT MINERAL WATER REFIL,4,1915.636345943316,COCA COLA BEVERAGES KENYA LTD,9,12
COKE ZERO 500ML PET,5,260.7016361886429,COCA COLA BEVERAGES KENYA LTD,9,12
SCHWEPPES TONIC WATER 500ML PET,3,182.12401010951982,COCA COLA BEVERAGES KENYA LTD,9,12
MAGGI 4G 28S CUBE FORTIFIED,3,254.62701585113712,NESTLE KENYA LTD,9,12
AQUAMIST 500ML SPARKLING WATER,3,165.3532641021218,AQUAMIST LIMITED,9,12
KRACKLES PERFECTLY SALTED 30G,4,132.18040579710146,PROPACK KENYA LTD,9,12
BIO 1L FRESH WHOLE MILK,5,683.5279724735568,BIO FOOD PRODUCTS LTD,10,13
WHITE CAP 500ML LAGER CANS,10,1827.0815547342934,KENYA BREWERIES LTD,10,13
AQUAMIST 300ML MINERAL WATER,8,196.32621417346408,AQUAMIST LIMITED,10,13
QUENCHER 1LT DRINKING WATER,5,192.73426413366906,EXCEL CHEMICALS LTD,10,13
AQUAMIST 500ML MINERAL WATER,4,157.91110178384054,AQUAMIST LIMITED,10,13
KERINGET 18.9LT MINERAL WATER REFIL,5,2394.545432429145,COCA COLA BEVERAGES KENYA LTD,10,13
COKE ZERO 330ML CAN,4,309.03026168467653,COCA COLA BEVERAGES KENYA LTD,10,13
COKE ZERO 500ML PET,6,312.84196342637154,COCA COLA BEVERAGES KENYA LTD,10,13
SCHWEPPES TONIC WATER 500ML PET,3,182.12401010951982,COCA COLA BEVERAGES KENYA LTD,10,13
MAGGI 4G 28S CUBE FORTIFIED,3,254.62701585113712,NESTLE KENYA LTD,10,13
AQUAMIST 500ML SPARKLING WATER,3,165.3532641021218,AQUAMIST LIMITED,10,13
HIGHLANDS 500ML MINERAL WATER,2,40.000679549798264,HIGHLANDS DRINKS LIMITED,10,13
KARA 65ML COCONUT  MILK CREAM,3,174.33026343970872,PORTCROSS LTD  PC.,10,13
