sku,qty,est_cost,supplier,day_generated,arrival_day
WHITE CAP 500ML LAGER CANS,7,1278.9570883140054,KENYA BREWERIES LTD,7,10
COKE PET 350ML,4,155.5336534909494,COCA COLA BEVERAGES KENYA LTD,7,10
BIO 200ML GREEK STYLE NATURE PLAIN YOGHURT,4,553.1765251290695,BIO FOOD PRODUCTS LTD,7,10
AQUAMIST 500ML MINERAL WATER,4,157.91110178384054,AQUAMIST LIMITED,7,10
TUSKER CAN 500ML BEER,6,1020.9488483793778,KENYA BREWERIES LTD,7,10
KERINGET 18.9LT MINERAL WATER REFIL,4,1915.636345943316,COCA COLA BEVERAGES KENYA LTD,7,10
COKE PET 500ML,3,159.57090755711778,COCA COLA BEVERAGES KENYA LTD,7,10
AQUAMIST 1LTR SPARKLING WATER,3,228.07781895182643,AQUAMIST LIMITED,7,10
TUZO 450ML ESL WHOLE MILK 30DAYS,6,266.3991250455706,BROOKSIDE DAIRY LIMITED,7,10
CHANDARANA FOODPLUS CARRIER BAG GREEN/WHITE,6,192.00464024306035,Unknown,7,10
DAIMA 500ML FINO MAZIWA BORA,4,152.50175192711984,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,8,11
DAIMA 450ML ESL MAZIWA BORA,4,143.2052078117176,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,8,11
EXE 2KG ALL PURPOSE FLOUR,6,768.5509441423629,UNGA LTD,8,11
FRESHA MAISHA 250ML LONG LIFE MILK,4,96.00146772159157,GITHUNGURI DAIRY FARMERS,8,11
BIO 1L FRESH WHOLE MILK,3,410.1167834841341,BIO FOOD PRODUCTS LTD,8,11
WHITE CAP 500ML LAGER CANS,8,1461.6652437874347,KENYA BREWERIES LTD,8,11
QUENCHER 300ML DRINKING WATER,7,107.95507835945315,EXCEL CHEMICALS LTD,8,11
QUENCHER 500ML DRINKING WATER,6,126.95333675188633,EXCEL CHEMICALS LTD,8,11
KERINGET 500ML MINERAL WATER,4,179.6668559391886,COCA COLA BEVERAGES KENYA LTD,8,11
COKE PET 350ML,4,155.5336534909494,COCA COLA BEVERAGES KENYA LTD,8,11
BIO 200ML GREEK STYLE NATURE PLAIN YOGHURT,4,553.1765251290695,BIO FOOD PRODUCTS LTD,8,11
AQUAMIST 500ML MINERAL WATER,4,157.91110178384054,AQUAMIST LIMITED,8,11
KERINGET 18.9LT MINERAL WATER REFIL,4,1915.636345943316,COCA COLA BEVERAGES KENYA LTD,8,11
AQUAMIST 1LTR SPARKLING WATER,4,304.1037586024352,AQUAMIST LIMITED,8,11
TUZO 450ML ESL WHOLE MILK 30DAYS,7,310.79897921983235,BROOKSIDE DAIRY LIMITED,8,11
DAIMA 500ML FINO MAZIWA BORA,5,190.6271899088998,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,9,12
FRESHA MAISHA 250ML LONG LIFE MILK,4,96.00146772159157,GITHUNGURI DAIRY FARMERS,9,12
BIO 1L FRESH WHOLE MILK,4,546.8223779788455,BIO FOOD PRODUCTS LTD,9,12
WHITE CAP 500ML LAGER CANS,9,1644.373399260864,KENYA BREWERIES LTD,9,12
QUENCHER 300ML DRINKING WATER,8,123.3772324108036,EXCEL CHEMICALS LTD,9,12
AQUAMIST 300ML MINERAL WATER,6,147.24466063009805,AQUAMIST LIMITED,9,12
QUENCHER 500ML DRINKING WATER,7,148.11222621053406,EXCEL CHEMICALS LTD,9,12
KERINGET 500ML MINERAL WATER,5,224.58356992398575,COCA COLA BEVERAGES KENYA LTD,9,12
COKE PET 350ML,5,194.41706686368676,COCA COLA BEVERAGES KENYA LTD,9,12
BIO 200ML GREEK STYLE NATURE PLAIN YOGHURT,4,553.1765251290695,BIO FOOD PRODUCTS LTD,9,12
AQUAMIST 500ML MINERAL WATER,4,157.91110178384054,AQUAMIST LIMITED,9,12
KERINGET 18.9LT MINERAL WATER REFIL,4,1915.636345943316,COCA COLA BEVERAGES KENYA LTD,9,12
HIGHLANDS 500ML MINERAL WATER,2,40.000679549798264,HIGHLANDS DRINKS LIMITED,9,12
KRACKLES PERFECTLY SALTED 30G,3,99.1353043478261,PROPACK KENYA LTD,9,12
DAIMA 500ML FINO MAZIWA BORA,6,228.75262789067978,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,10,13
FRESHA MAISHA 250ML LONG LIFE MILK,4,96.00146772159157,GITHUNGURI DAIRY FARMERS,10,13
FRESHA MAISHA 500ML LONG LIFE MILK,3,133.08914719197358,GITHUNGURI DAIRY FARMERS,10,13
BIO 1L FRESH WHOLE MILK,5,683.5279724735568,BIO FOOD PRODUCTS LTD,10,13
QUENCHER 300ML DRINKING WATER,9,138.79938646215405,EXCEL CHEMICALS LTD,10,13
AQUAMIST 300ML MINERAL WATER,7,171.78543740178108,AQUAMIST LIMITED,10,13
QUENCHER 500ML DRINKING WATER,8,169.27111566918177,EXCEL CHEMICALS LTD,10,13
QUENCHER 1LT DRINKING WATER,5,192.73426413366906,EXCEL CHEMICALS LTD,10,13
KERINGET 500ML MINERAL WATER,6,269.5002839087829,COCA COLA BEVERAGES KENYA LTD,10,13
COKE ZERO 500ML PET,3,156.42098171318577,COCA COLA BEVERAGES KENYA LTD,10,13
SCHWEPPES TONIC WATER 500ML PET,2,121.41600673967987,COCA COLA BEVERAGES KENYA LTD,10,13
HIGHLANDS 500ML MINERAL WATER,3,60.001019324697396,HIGHLANDS DRINKS LIMITED,10,13
KRACKLES PERFECTLY SALTED 30G,4,132.18040579710146,PROPACK KENYA LTD,10,13
