sku,qty,est_cost,supplier,day_generated,arrival_day
FESTIVE 600G FAMILY WHITE BREAD,24,1920.0141035058434,DPL FESTIVE  LIMITED,3,6
NATURES 400G GOLD WHITE,27,1404.007572039543,DPL FESTIVE  LIMITED,3,6
SOKO 2KG MAIZE MEAL,27,3156.769842815412,CAPWELL INDUSTRIES LTD,3,6
DAIMA 500ML WHOLE ESL POUCH,22,861.4710097719869,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,3,6
AJAB 2KG HOME BAKING FLOUR,17,2171.6280716196748,GRAIN INDUSTRIES LIMITED,3,6
DAIMA 500ML FINO MAZIWA BORA,17,648.1324456902594,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,3,6
NATURES 600G WHITE BREAD,21,1680.0166231897097,DPL FESTIVE  LIMITED,3,6
DAIMA 450ML ESL MAZIWA BORA,21,751.8273410115174,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,3,6
EXE 2KG ALL PURPOSE FLOUR,16,2049.4691843796345,UNGA LTD,3,6
FRESHA MAISHA 250ML LONG LIFE MILK,15,360.0055039559684,GITHUNGURI DAIRY FARMERS,3,6
FRESHA MAISHA 500ML LONG LIFE MILK,15,665.4457359598679,GITHUNGURI DAIRY FARMERS,3,6
BIO 1L FRESH WHOLE MILK,11,1503.7615394418249,BIO FOOD PRODUCTS LTD,3,6
JOGOO 2KG MAIZE MEAL,9,1044.0468988954972,UNGA LTD,3,6
PEMBE 2KG MAIZE MEAL,7,823.2276068120707,PEMBE FLOUR MILLS,3,6
WHITE CAP 500ML LAGER CANS,27,4933.120197782592,KENYA BREWERIES LTD,3,6
QUENCHER 300ML DRINKING WATER,30,462.6646215405135,EXCEL CHEMICALS LTD,3,6
AQUAMIST 300ML MINERAL WATER,26,638.0601960637582,AQUAMIST LIMITED,3,6
QUENCHER 500ML DRINKING WATER,21,444.3366786316021,EXCEL CHEMICALS LTD,3,6
QUENCHER 1LT DRINKING WATER,16,616.749645227741,EXCEL CHEMICALS LTD,3,6
KERINGET 500ML MINERAL WATER,18,808.5008517263486,COCA COLA BEVERAGES KENYA LTD,3,6
COKE PET 350ML,20,777.668267454747,COCA COLA BEVERAGES KENYA LTD,3,6
BIO 200ML GREEK STYLE NATURE PLAIN YOGHURT,14,1936.1178379517435,BIO FOOD PRODUCTS LTD,3,6
AQUAMIST 500ML MINERAL WATER,17,671.1221825813222,AQUAMIST LIMITED,3,6
DUNHILL 20S SWITCH,13,4888.0,NOBLE OUTLOOK LIMITED,3,6
TUSKER CAN 500ML BEER,17,2892.6884037415703,KENYA BREWERIES LTD,3,6
EMBASSY BY DUNHILL BLUE 20S,13,4784.013160013805,NOBLE OUTLOOK LIMITED,3,6
KERINGET 18.9LT MINERAL WATER REFIL,14,6704.727210801606,COCA COLA BEVERAGES KENYA LTD,3,6
COKE PET 500ML,11,585.0933277094318,COCA COLA BEVERAGES KENYA LTD,3,6
COKE ZERO 330ML CAN,11,849.8332196328605,COCA COLA BEVERAGES KENYA LTD,3,6
COKE ZERO 500ML PET,11,573.5435996150144,COCA COLA BEVERAGES KENYA LTD,3,6
AQUAMIST 1LTR SPARKLING WATER,10,760.259396506088,AQUAMIST LIMITED,3,6
SCHWEPPES TONIC WATER 500ML PET,13,789.2040438079192,COCA COLA BEVERAGES KENYA LTD,3,6
AQUAMIST 20LT MINERAL WATER,8,3375.8210741849107,AQUAMIST LIMITED,3,6
COKE 330ML CAN,8,624.3505032563648,COCA COLA BEVERAGES KENYA LTD,3,6
DL 37G FILLED CHOCOLATES MINT CHOC,11,613.1959608911685,GLACIER PRODUCTS LTD 2ND,3,6
COCA COLA 300ML,7,224.0,COCA COLA BEVERAGES KENYA LTD,3,6
COCA COLA 300ML EMPTY BOTTLE,7,84.0,COCA COLA BEVERAGES KENYA LTD,3,6
AQUAMIST 500ML SPARKLING WATER,10,551.1775470070727,AQUAMIST LIMITED,3,6
ISINYA 6S EGGS,7,701.1093625751682,ISINYA FEEDS LIMITED,3,6
BIO 150ML VANILLA YOGHURT,8,744.1014780168382,BIO FOOD PRODUCTS LTD,3,6
SPRITE PET 350ML,7,272.3299685476411,COCA COLA BEVERAGES KENYA LTD,3,6
SCHWEPPES SODA WATER 500ML PET,7,423.75434400281404,COCA COLA BEVERAGES KENYA LTD,3,6
KRACKLES BANG BANG CHILLI 30G,8,352.63515151515156,PROPACK KENYA LTD,3,6
GUINNESS 500ML CAN,6,1097.7182798871772,KENYA BREWERIES LTD,3,6
KRACKLES POTATO CRISP BBQ30G,7,305.5998452012384,PROPACK KENYA LTD,3,6
NESTLE 41.5G KITKAT 4 FINGER MILK,6,801.9651821862349,GLACIER PRODUCTS LTD 2ND,3,6
HIGHLANDS 500ML MINERAL WATER,7,140.0023784242939,HIGHLANDS DRINKS LIMITED,3,6
KRACKLES CHEESE & ONION 30G,5,221.63582362348643,PROPACK KENYA LTD,3,6
OLA 40G CHEESE CRUNCH TORTILA CHIPS,5,257.68314210061783,PROPACK KENYA LTD,3,6
COKE PET 2LTS,5,658.4801149976043,COCA COLA BEVERAGES KENYA LTD,3,6
KRACKLES PERFECTLY SALTED 30G,11,363.496115942029,PROPACK KENYA LTD,3,6
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,22,899.7897308822681,BROOKSIDE DAIRY LIMITED,4,7
PEMBE 2KG MAIZE MEAL,8,940.8315506423664,PEMBE FLOUR MILLS,4,7
FESTIVE 400G WHOLE MEAL,7,364.00244115082825,DPL FESTIVE  LIMITED,4,7
AMAIZE 2KG PREMIUM MAIZE FLOUR,3,439.58881388621023,CAPWELL INDUSTRIES LTD,4,7
AQUAMIST 20LT MINERAL WATER,9,3797.7987084580245,AQUAMIST LIMITED,4,7
COKE 330ML CAN,9,702.3943161634104,COCA COLA BEVERAGES KENYA LTD,4,7
TUSKER 500ML LAGER BEER,8,1337.6000000000001,KENYA BREWERIES LTD,4,7
COCA COLA 300ML,8,256.0,COCA COLA BEVERAGES KENYA LTD,4,7
COCA COLA 300ML EMPTY BOTTLE,8,96.0,COCA COLA BEVERAGES KENYA LTD,4,7
AQUAMIST 500ML SPARKLING WATER,11,606.29530170778,AQUAMIST LIMITED,4,7
ISINYA 6S EGGS,9,901.4263233109305,ISINYA FEEDS LIMITED,4,7
BIO 150ML VANILLA YOGHURT,9,837.114162768943,BIO FOOD PRODUCTS LTD,4,7
SPRITE PET 350ML,8,311.2342497687327,COCA COLA BEVERAGES KENYA LTD,4,7
SCHWEPPES SODA WATER 500ML PET,8,484.29067886035887,COCA COLA BEVERAGES KENYA LTD,4,7
KRACKLES BANG BANG CHILLI 30G,10,440.79393939393947,PROPACK KENYA LTD,4,7
GUINNESS 500ML CAN,7,1280.6713265350402,KENYA BREWERIES LTD,4,7
KRACKLES POTATO CRISP BBQ30G,8,349.25696594427245,PROPACK KENYA LTD,4,7
NESTLE 41.5G KITKAT 4 FINGER MILK,7,935.6260458839407,GLACIER PRODUCTS LTD 2ND,4,7
BALOZI 500ML CAN,5,822.1446793061718,KENYA BREWERIES LTD,4,7
HIGHLANDS 500ML MINERAL WATER,9,180.0030579740922,HIGHLANDS DRINKS LIMITED,4,7
KRACKLES CHEESE & ONION 30G,6,265.96298834818367,PROPACK KENYA LTD,4,7
OLA 40G CHEESE CRUNCH TORTILA CHIPS,7,360.756398940865,PROPACK KENYA LTD,4,7
COKE PET 2LTS,7,921.872160996646,COCA COLA BEVERAGES KENYA LTD,4,7
WRIGLEYS P.K 10S CHEWING GUM PEPPERMINT,6,128.0322531257974,RADBONE CLARK LIMITED MARS,4,7
KABARNET 300ML MINERAL WATER,5,76.14500258933195,KHETIA DRAPERS LTD,4,7
SPRITE 330ML CAN REGULAR,4,308.8922281011169,COCA COLA BEVERAGES KENYA LTD,4,7
ISINYA 15S EGGS,4,992.6768044187799,ISINYA FEEDS LIMITED,4,7
TENA 10S WHITE TOILET ROLLS,5,1802.715626725566,AFRICAN COTTON INDUSTRIES LTD,4,7
DUNHILL 20S DOUBLE CAP,4,1504.0,NOBLE OUTLOOK LIMITED,4,7
AQUACLEAR 500ML MINERAL WATER,4,100.09270801815433,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,4,7
OREO 31.3G ENROBED,3,153.58603491271822,HASBAH KENYA LTD CADBURY,4,7
DAIMA 200ML WHOLE MILK FINO TETRA 180DAYS,3,61.47055702917773,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,4,7
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,27,1104.2873969918746,BROOKSIDE DAIRY LIMITED,5,8
PEMBE 2KG MAIZE MEAL,9,1058.4354944726622,PEMBE FLOUR MILLS,5,8
FESTIVE 400G WHOLE MEAL,9,468.0031386224935,DPL FESTIVE  LIMITED,5,8
FRESHA 5L WHOLE MILK,4,1598.3192182410423,GITHUNGURI DAIRY FARMERS,5,8
FESTIVE 300G 6S DELUXE ROLLS,4,384.0,DPL FESTIVE  LIMITED,5,8
MOLO UHT MILK 500ML ESL 90DAYS,4,150.0540857456944,BROOKSIDE DAIRY LIMITED,5,8
AMAIZE 2KG PREMIUM MAIZE FLOUR,4,586.1184185149469,CAPWELL INDUSTRIES LTD,5,8
MAYERS 1L SPARKLING WATER PLASTIC,7,538.9073136915079,MALACHITE LIMITED,5,8
TUSKER 500ML LAGER BEER,9,1504.8000000000002,KENYA BREWERIES LTD,5,8
COCA COLA 300ML,9,288.0,COCA COLA BEVERAGES KENYA LTD,5,8
COCA COLA 300ML EMPTY BOTTLE,10,120.0,COCA COLA BEVERAGES KENYA LTD,5,8
AQUAMIST 500ML SPARKLING WATER,7,385.8242829049509,AQUAMIST LIMITED,5,8
WHITE CAP 500ML LAGER BEER,7,1338.4,KENYA BREWERIES LTD,5,8
ISINYA 6S EGGS,10,1001.5848036788117,ISINYA FEEDS LIMITED,5,8
SCHWEPPES SODA WATER 500ML PET,8,484.29067886035887,COCA COLA BEVERAGES KENYA LTD,5,8
GUINNESS 500ML CAN,7,1280.6713265350402,KENYA BREWERIES LTD,5,8
KRACKLES POTATO CRISP BBQ30G,9,392.9140866873065,PROPACK KENYA LTD,5,8
NESTLE 41.5G KITKAT 4 FINGER MILK,8,1069.2869095816466,GLACIER PRODUCTS LTD 2ND,5,8
BALOZI 500ML CAN,6,986.5736151674063,KENYA BREWERIES LTD,5,8
HIGHLANDS 500ML MINERAL WATER,9,180.0030579740922,HIGHLANDS DRINKS LIMITED,5,8
TUSKER LITE 500ML CAN,6,1241.1423004846527,KENYA BREWERIES LTD,5,8
KRACKLES CHEESE & ONION 30G,7,310.29015307288097,PROPACK KENYA LTD,5,8
OLA 40G CHEESE CRUNCH TORTILA CHIPS,8,412.29302736098856,PROPACK KENYA LTD,5,8
URBAN STIX 35G BARBEQUE SNACKS,6,168.0,NORDA INDUSTRIES LTD.,5,8
SPRITE PET 500ML,5,264.3724104313917,COCA COLA BEVERAGES KENYA LTD,5,8
COKE PET 2LTS,8,1053.568183996167,COCA COLA BEVERAGES KENYA LTD,5,8
WRIGLEYS P.K 10S CHEWING GUM PEPPERMINT,8,170.70967083439655,RADBONE CLARK LIMITED MARS,5,8
KABARNET 300ML MINERAL WATER,7,106.60300362506473,KHETIA DRAPERS LTD,5,8
SPRITE 330ML CAN REGULAR,4,308.8922281011169,COCA COLA BEVERAGES KENYA LTD,5,8
WRIGLEYS JUICY FRUIT 10S CLASSIC,5,106.66563066563069,RADBONE CLARK LIMITED MARS,5,8
AQUAMIST 1LT MINERAL WATER,4,244.85548607163162,AQUAMIST LIMITED,5,8
ISINYA 15S EGGS,5,1240.8460055234748,ISINYA FEEDS LIMITED,5,8
OLA 40G MEXICAN CRUNCH TORTILA CHIPS,4,206.28925619834715,PROPACK KENYA LTD,5,8
TENA 10S WHITE TOILET ROLLS,6,2163.2587520706793,AFRICAN COTTON INDUSTRIES LTD,5,8
DUNHILL 20S DOUBLE CAP,5,1880.0,NOBLE OUTLOOK LIMITED,5,8
VELVEX 100S WHITE SERVIETTES,5,464.78158514255824,CHANDARIA INDUSTRIES  LTD,5,8
KNORR 51G 6S CHICKEN CUBES,4,301.5809243450103,UNILEVER KENYA LIMITED,5,8
COKE ZERO 2L PET,4,529.8530831099196,COCA COLA BEVERAGES KENYA LTD,5,8
AQUACLEAR 500ML MINERAL WATER,6,150.1390620272315,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,5,8
SMIRNOFF 330ML PINEAPPLE PUNCH ICE CAN,3,485.01137541528243,UDV KENYA LIMITED,5,8
CARTOONS 30G TANGY TOMATO CRISPS,3,135.10461095100865,PROPACK KENYA LTD,5,8
OREO 31.3G ENROBED,4,204.78137988362428,HASBAH KENYA LTD CADBURY,5,8
DAIMA 200ML WHOLE MILK FINO TETRA 180DAYS,4,81.96074270557031,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,5,8
