Department,SKU_Count,Avg_Price,Avg_Daily_Sales,Total_Value,Capital_Weight,SKU_per_Million
CHEESE,264,3.780479170296378,0.22181818181818183,1439421.0,0.005756550636725182,2.2976057213691017
CHEVDA,53,1.1712780348878604,0.26990566037735847,82253.0,0.00032894723609184275,0.4612617546687969
CHEWING GUM,142,2.176036073303715,0.5355281690140845,974751.0,0.003898236505996861,1.2358333804333803
CHINESS & THAI SAUCE,176,0.0,0.041420454545454545,0.0,0.0,1.5317371475794008
CHOCOLATES,608,3.6275165047435887,0.3248149671052632,6593399.0,0.02636840452628743,5.29145560072884
CIDERS,43,21.968077816910313,0.656046511627907,1659209.37,0.0066355310609848605,0.37423123491996724
CIGARETTES,68,25.95591261901526,0.8442279411764707,10888218.0,0.043544298895668875,0.5918075342920412
CLING FILMS & FOIL,39,0.0,0.32916666666666666,0.0,0.0,0.3394190270204354
COCONUT MILK/ POWDER,58,1.2523725821818155,0.49323275862068966,339145.0,0.0013563129659023745,0.5047770145432117
COCONUT OIL,26,0.0,0.15096153846153848,0.0,0.0,0.22627935134695695
COFFEE,269,0.13795391575865842,0.3091171003717472,141330.0,0.0005652087203732403,2.3411209812435163
COFFEE MAKER/GRINDERS,5,0.0,0.020999999999999998,0.0,0.0,0.0435152598744148
COMPUTER ASS,1,0.0,0.0225,0.0,0.0,0.00870305197488296
CONCENTRATE JUICE,90,0.0,0.1306388888888889,0.0,0.0,0.7832746777394664
CONDOMS,28,0.0,0.07187500000000001,0.0,0.0,0.24368545529672286
COOKERS/OVENS/BURNERS,2,0.0,0.021249999999999998,0.0,0.0,0.01740610394976592
COOKING FAT,36,0.0,0.22701388888888888,0.0,0.0,0.31330987109578656
COOKING GAS,5,0.0,0.2185,0.0,0.0,0.0435152598744148
COOKING OIL,190,24.520121167573247,0.30239473684210527,9403583.0,0.03760692785929071,1.6535798752277624
COOKING SAUCE/PASTE,99,0.3774426508071368,0.22194444444444444,47979.0,0.00019187822256270924,0.861602145513413
COSMETICS,314,0.0,0.06110668789808917,0.0,0.0,2.7327583201132493
COTTON WOOL/BUDS,50,0.0,0.1637,0.0,0.0,0.43515259874414797
CRISPBREAD,14,0.0,0.13071428571428573,0.0,0.0,0.12184272764836143
CRISPS,263,1.4883189835312873,0.5960836501901141,1334849.0,0.0053383449740430165,2.2889026693942185
DELI CHEESE,16,0.0,0.0446875,0.0,0.0,0.13924883159812737
DELI HAM,12,0.0,0.10205833333333332,0.0,0.0,0.10443662369859551
DELI PRODUCT,41,0.0,0.04739756097560976,0.0,0.0,0.35682513097020135
DETERGENTS,212,0.0,0.252936320754717,0.0,0.0,1.8450470186751875
DIAPERS,144,0.0,0.08480902777777778,0.0,0.0,1.2532394843831463
DISCONTINUE ITEMS,2,0.0,0.02375,0.0,0.0,0.01740610394976592
DISH WASHING PASTE,53,0.0,0.2416509433962264,0.0,0.0,0.4612617546687969
DISINFECTANT,31,0.0,0.15983870967741937,0.0,0.0,0.26979461122137177
DIWALI ITEMS,45,0.0,0.09994444444444443,0.0,0.0,0.3916373388697332
DRIED FRUITS/NUTS,4,0.0,0.125625,0.0,0.0,0.03481220789953184
DRIED FRUITS/NUTS&SEEDS,114,0.0,0.1319517543859649,0.0,0.0,0.9921479251366574
DRIED MEAT,26,0.0,0.13038461538461538,0.0,0.0,0.22627935134695695
EGGS,52,59.67728515053542,1.5041346153846153,8125403.6899999995,0.032495217024983404,0.4525587026939139
ELECTRICAL ITEMS,167,0.0,0.055538922155688626,0.0,0.0,1.453409679805454
EMPTIES/CRATES,47,23.298938828126037,1.0340425531914894,6424586.0,0.02569328544532537,0.4090434428194991
EMPTY BOTTLE 20LT,2,0.0,0.04375,0.0,0.0,0.01740610394976592
ENERGY DRINKS,45,9.696564962945672,0.8051666666666667,1545667.6,0.006181453380870144,0.3916373388697332
EYE WEAR,2,0.0,0.015,0.0,0.0,0.01740610394976592
FABRIC CONDITIONER,93,0.0,0.1543010752688172,0.0,0.0,0.8093838336641153
FAN/AIR CONDITIONERS,37,0.0,0.0225,0.0,0.0,0.32201292307066953
FLOUR,175,14.517676826757496,1.0474428571428571,11826041.72,0.047294855357261405,1.5230340956045179
FLOWERS  SEEDS,5,0.0,0.8825,0.0,0.0,0.0435152598744148
