Department,SKU_Count,Avg_Price,Avg_Daily_Sales,Total_Value,Capital_Weight,SKU_per_Million
COCONUT MILK/ POWDER,58,1.2523725821818157,0.4932327586206896,339145.0,0.0013563129659023,0.5047770145432117
COCONUT OIL,26,0.0,0.1509615384615384,0.0,0.0,0.2262793513469569
COFFEE,269,0.1379539157586584,0.3091171003717472,141330.0,0.0005652087203732,2.3411209812435163
COFFEE MAKER/GRINDERS,5,0.0,0.0209999999999999,0.0,0.0,0.0435152598744148
COMPUTER ASS,1,0.0,0.0225,0.0,0.0,0.0087030519748829
CONCENTRATE JUICE,90,0.0,0.1306388888888889,0.0,0.0,0.7832746777394664
CONDOMS,28,0.0,0.071875,0.0,0.0,0.2436854552967228
COOKERS/OVENS/BURNERS,2,0.0,0.0212499999999999,0.0,0.0,0.0174061039497659
COOKING FAT,36,0.0,0.2270138888888888,0.0,0.0,0.3133098710957865
COOKING GAS,5,0.0,0.2185,0.0,0.0,0.0435152598744148
COOKING OIL,190,24.520121167573247,0.3023947368421052,9403583.0,0.0376069278592907,1.6535798752277624
COOKING SAUCE/PASTE,99,0.3774426508071368,0.2219444444444444,47979.0,0.0001918782225627,0.861602145513413
COSMETICS,314,0.0,0.0611066878980891,0.0,0.0,2.7327583201132493
COTTON WOOL/BUDS,50,0.0,0.1637,0.0,0.0,0.4351525987441479
CRISPBREAD,14,0.0,0.1307142857142857,0.0,0.0,0.1218427276483614
CRISPS,263,1.488318983531287,0.5960836501901141,1334849.0,0.005338344974043,2.2889026693942185
DELI CHEESE,16,0.0,0.0446875,0.0,0.0,0.1392488315981273
DELI HAM,12,0.0,0.1020583333333333,0.0,0.0,0.1044366236985955
DELI PRODUCT,41,0.0,0.0473975609756097,0.0,0.0,0.3568251309702013
DETERGENTS,212,0.0,0.252936320754717,0.0,0.0,1.8450470186751875
DIAPERS,144,0.0,0.0848090277777777,0.0,0.0,1.2532394843831465
DISCONTINUE ITEMS,2,0.0,0.02375,0.0,0.0,0.0174061039497659
DISH WASHING PASTE,53,0.0,0.2416509433962264,0.0,0.0,0.4612617546687969
DISINFECTANT,31,0.0,0.1598387096774193,0.0,0.0,0.2697946112213717
DIWALI ITEMS,45,0.0,0.0999444444444444,0.0,0.0,0.3916373388697332
DRIED FRUITS/NUTS,4,0.0,0.125625,0.0,0.0,0.0348122078995318
DRIED FRUITS/NUTS&SEEDS,114,0.0,0.1319517543859649,0.0,0.0,0.9921479251366574
DRIED MEAT,26,0.0,0.1303846153846153,0.0,0.0,0.2262793513469569
EGGS,52,59.67728515053542,1.5041346153846151,8125403.689999999,0.0324952170249834,0.4525587026939139
ELECTRICAL ITEMS,167,0.0,0.0555389221556886,0.0,0.0,1.453409679805454
EMPTIES/CRATES,47,23.29893882812604,1.0340425531914894,6424586.0,0.0256932854453253,0.4090434428194991
EMPTY BOTTLE 20LT,2,0.0,0.04375,0.0,0.0,0.0174061039497659
ENERGY DRINKS,45,9.696564962945672,0.8051666666666667,1545667.6,0.0061814533808701,0.3916373388697332
EYE WEAR,2,0.0,0.015,0.0,0.0,0.0174061039497659
FABRIC CONDITIONER,93,0.0,0.1543010752688172,0.0,0.0,0.8093838336641153
FAN/AIR CONDITIONERS,37,0.0,0.0225,0.0,0.0,0.3220129230706695
FLOUR,175,14.517676826757496,1.0474428571428571,11826041.72,0.0472948553572614,1.523034095604518
FLOWERS  SEEDS,5,0.0,0.8825,0.0,0.0,0.0435152598744148
FOOD COLOUR/ESSENCE,43,0.0,0.0905232558139534,0.0,0.0,0.3742312349199672
FOOD PROCESSORS/STEAMERS,2,0.0,0.0075,0.0,0.0,0.0174061039497659
FOOTWEAR,2,0.0,0.1137499999999999,0.0,0.0,0.0174061039497659
FRESH CREAM,38,9.28155217487165,0.4615131578947369,589360.0,0.0023569759530119,0.3307159750455525
FRESH FRUITS CS,7,0.0,0.0435714285714285,0.0,0.0,0.0609213638241807
FRESH GOURMET,249,16.97686285010399,0.5306044176706827,7777664.52,0.0311045341459106,2.167059941745857
FRESH MILK,110,46.24904850530863,11.091386363636364,48909856.0,0.1956009136305062,0.9573357172371256
FRESH VEG CS,5,0.0,0.02506,0.0,0.0,0.0435152598744148
FROZEN FISH/SEAFOOD,71,0.0,0.060912676056338,0.0,0.0,0.6179166902166902
FROZEN FRUITS,8,0.0,0.095625,0.0,0.0,0.0696244157990636
FROZEN GOURMET,208,0.0,0.1339509615384615,0.0,0.0,1.810234810775656
FROZEN VEGETABLE,120,0.0,0.1431875,0.0,0.0,1.044366236985955
GHEE,12,0.0,0.6997916666666666,0.0,0.0,0.1044366236985955
GHERKINS,17,0.0,0.0619117647058823,0.0,0.0,0.1479518835730103
GIFT WRAP&RIBBON,49,0.0,0.1058163265306122,0.0,0.0,0.426449546769265
GIFTWARE,8,0.0,0.035,0.0,0.0,0.0696244157990636
GLASSWARE ITEMS,187,0.0,0.0478877005347593,0.0,0.0,1.6274707193031137
GLOVES,37,0.0,0.0808108108108108,0.0,0.0,0.3220129230706695
General Merchandise,487,0.0,8.305916016427103,0.0,0.0,4.238386311768001
HAIR ACCESSORIES,48,0.0,0.1169791666666666,0.0,0.0,0.417746494794382
HAIR PRODUCTS,235,0.0,0.0707234042553191,0.0,0.0,2.045217214097496
HAND WASH,96,0.0,0.1862239583333333,0.0,0.0,0.8354929895887641
HARDWARE,66,0.0,0.073030303030303,0.0,0.0,0.5744014303422754
HEATERS,7,0.0,0.0185714285714285,0.0,0.0,0.0609213638241807
HERBAL TEAS,152,0.0,0.1349342105263158,0.0,0.0,1.32286390018221
HOME APPLIANCES ELEC,11,0.0,0.0356818181818181,0.0,0.0,0.0957335717237125
